Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote Frauen;Arbeitslosenquote Männer;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Helfer;Arbeitslosenquote Ältere;Arbeitslosenquote Jüngere;Baulandpreise;Angebotsmietpreise;Wohnfläche;Beschäftigtenquote Ausländer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen;Selbständigenquote;Erwerbsquote Frauen;Erwerbsquote Männer;Beschäftigte am AO mit akademischem Berufsabschluss;Beschäftigte am AO mit Berufsabschluss;Beschäftigte am AO ohne Berufsabschluss;Beschäftigte am WO mit akademischen Abschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO ohne Berufsabschluss;Kurzarbeiter;Geringfügig Beschäftigte 65 Jahre und älter;Geringfügig Beschäftigte 65 Jahre und älter männlich;Geringfügig Beschäftigte 65 Jahre und älter weiblich;Anteil Erwerbstätige Verarbeitendes Gewerbe an Industrie;Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen;Einwohner 85 Jahre und älter;Ausländeranteil;Ausländerinnen;Schutzsuchende an ausländischer Bevölkerung;Zuzugsrate;Fortzugsrate;Fertilitätsrate;Wahlbeteiligung;Stimmenanteile CDU/CSU;Stimmenanteile SPD;Stimmenanteile Grüne;Stimmenanteile FDP;Stimmenanteile Sonstige Parteien;Stimmenanteile Die Linke;Stimmenanteile AfD;Ausbildungsplätze;Berufsschüler;Berufsschülerinnen;Ausländische Berufsschüler;Auszubildende;Schulabgänger mit allgemeiner Hochschulreife;Schulabgänger mit mittlerem Abschluss;Schulabgänger mit Hauptschulabschluss;Schulabgänger ohne Abschluss;Medianeinkommen;Haushaltseinkommen;Krankenhausbetten;Kommunale Schulden;SGB II - Quote;Wohngeldhaushalte;Empfänger von Grundsicherung im Alter (Altersarmut);Weibliche Empfänger von Grundsicherung im Alter (Altersarmut);Männliche Empfänger von Grundsicherung im Alter (Altersarmut);Asylbewerber;Empfänger von Mindestsicherungen;ALG I-Leistungen;ALG I-Leistungen Männer;ALG I-Leistungen Frauen;Pkw-Dichte;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Erwerbstätigen;Anteil Bruttowertschöpfung Primärer Sektor;Anteil Bruttowertschöpfung Sekundärer Sektor;Anteil Bruttowertschöpfung Tertiärer Sektor;Stickstoffüberschuss;Krankenhausversorgung;Schulabgänger ohne Abschluss;Angebotsmietpreise
;;;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2021;2021;2022;2022;2022;2022;2022;2022;2022;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2021;2021;2021;2019;2021;2021;2022;2022;2022;2021;2021;2022;2022;2022;2022;2021;2021;2021;2021;2021;2018;2021;2022;2022
"01001";"Flensburg, Stadt";"Kreise";"7,01";"8,29";"11,72";"11,72";"56,14";"20,32";"6,83";"5,61";"0,00";"8,49";"44,45";"41,21";"36,60";"55,57";"7,12";"80,67";"86,75";"16,24";"61,27";"14,77";"17,49";"53,03";"17,73";"0,09";"13,98";"17,60";"11,12";"78,57";"16,80";"2,75";"18,46";"46,25";"30,44";"106,29";"84,59";"1,29";"74,00";"14,07";"24,56";"24,20";"9,41";"16,14";"6,20";"5,42";"99,01";"42,20";"35,41";"18,36";"42,02";"43,87";"29,41";"18,63";"8,09";"3.295,48";"1.679,23";"9,10";"913,41";"14,08";"21,18";"6,85";"56,13";"43,87";"4,06";"14,92";"1.024,06";"1.130,41";"881,21";"491,50";"43,26";"65,26";"0,01";"20,05";"79,95";"22,26";"9,10";"8,09";"8,49"
"01002";"Kiel, Landeshauptstadt";"Kreise";"6,86";"7,96";"14,25";"11,99";"55,24";"18,46";"6,54";"4,72";"0,00";"9,64";"39,71";"40,70";"34,42";"51,52";"6,14";"76,45";"87,23";"22,56";"57,21";"12,65";"25,28";"50,85";"15,17";"0,06";"12,36";"15,27";"9,99";"89,82";"23,23";"2,78";"13,57";"49,96";"37,11";"68,20";"57,95";"1,18";"76,20";"14,53";"26,01";"28,92";"10,24";"8,87";"6,41";"5,02";"88,47";"27,83";"37,95";"15,54";"42,96";"43,97";"29,02";"17,67";"9,34";"3.643,49";"1.777,98";"13,84";"2.176,27";"14,25";"21,20";"6,57";"54,69";"45,31";"5,52";"14,67";"1.041,94";"1.117,86";"940,75";"452,75";"50,57";"70,75";"0,02";"16,13";"83,85";"9,31";"13,84";"9,34";"9,64"
"01003";"Lübeck, Hansestadt";"Kreise";"7,12";"8,00";"5,29";"8,89";"62,92";"22,86";"6,54";"6,01";"168,89";"10,03";"41,70";"43,91";"33,47";"51,39";"7,82";"77,63";"88,26";"15,37";"62,33";"13,60";"18,27";"58,95";"13,81";"0,03";"14,55";"16,53";"12,89";"90,59";"22,63";"3,71";"12,52";"49,94";"30,93";"62,00";"47,31";"1,28";"72,40";"17,64";"30,71";"23,04";"10,17";"7,26";"4,55";"6,63";"108,65";"47,07";"40,01";"8,74";"40,61";"38,98";"31,15";"18,53";"11,34";"3.370,70";"1.866,34";"4,07";"2.508,90";"12,96";"25,18";"6,26";"56,72";"43,28";"5,85";"13,41";"1.036,46";"1.130,41";"921,99";"468,45";"47,31";"76,93";"0,09";"24,38";"75,53";"2,67";"4,07";"11,34";"10,03"
"01004";"Neumünster, Stadt";"Kreise";"7,28";"8,17";"6,36";"7,67";"62,16";"23,89";"6,05";"7,11";"114,70";"7,78";"44,05";"42,49";"29,15";"51,83";"6,96";"79,12";"92,14";"10,25";"65,28";"14,90";"8,56";"64,84";"17,12";"0,12";"16,92";"22,96";"12,14";"87,88";"24,43";"3,52";"14,15";"46,14";"40,93";"85,77";"78,51";"1,46";"67,90";"20,24";"32,20";"14,61";"11,91";"8,35";"3,30";"9,38";"103,79";"59,47";"41,12";"14,47";"45,01";"43,25";"28,83";"18,71";"9,51";"3.176,48";"1.768,44";"8,52";"1.404,43";"13,37";"21,67";"4,91";"57,22";"42,78";"20,19";"15,29";"981,50";"1.104,00";"813,86";"546,34";"48,50";"70,62";"0,24";"25,03";"74,73";"15,42";"8,52";"9,51";"7,78"
"01051";"Dithmarschen";"Kreise";"5,30";"5,67";"6,39";"10,62";"61,35";"21,63";"4,32";"5,48";"48,50";"7,05";"55,80";"43,09";"32,07";"55,06";"11,09";"78,67";"89,80";"8,66";"69,13";"12,61";"8,68";"69,35";"12,64";"0,07";"17,49";"23,72";"13,30";"90,59";"14,70";"3,48";"7,76";"47,15";"37,61";"53,15";"35,95";"1,48";"76,00";"25,49";"27,95";"12,01";"14,22";"8,37";"3,16";"8,80";"105,32";"18,83";"36,28";"9,19";"53,52";"28,42";"39,28";"20,16";"12,14";"3.153,47";"2.051,31";"5,46";"1.357,41";"8,95";"18,56";"2,43";"57,14";"42,86";"4,89";"8,77";"1.030,52";"1.167,62";"854,41";"619,31";"37,74";"81,29";"4,27";"39,93";"55,81";"0,74";"5,46";"12,14";"7,05"
"01053";"Herzogtum Lauenburg";"Kreise";"4,90";"5,15";"6,06";"10,17";"60,80";"22,97";"4,73";"4,90";"213,68";"9,02";"48,14";"42,68";"35,08";"57,07";"12,05";"78,11";"88,88";"11,67";"65,62";"12,72";"13,34";"66,00";"11,65";"0,21";"17,45";"22,63";"13,80";"87,50";"19,56";"3,59";"10,27";"49,35";"34,30";"60,87";"41,38";"1,58";"78,90";"22,94";"29,22";"15,78";"13,47";"6,93";"3,30";"8,35";"107,70";"10,29";"38,20";"21,89";"42,74";"34,23";"35,18";"19,89";"10,52";"3.177,01";"2.116,79";"2,82";"1.027,41";"7,02";"17,79";"2,69";"55,82";"44,18";"5,63";"7,47";"1.119,20";"1.280,32";"925,01";"594,86";"25,15";"69,95";"1,86";"26,29";"71,85";"0,57";"2,82";"10,52";"9,02"
"01054";"Nordfriesland";"Kreise";"4,11";"4,81";"6,88";"13,01";"58,62";"21,49";"4,04";"3,70";"87,85";"8,16";"60,41";"47,74";"32,37";"53,27";"12,39";"87,40";"89,62";"8,98";"68,00";"11,97";"9,02";"68,31";"12,04";"0,10";"16,46";"21,91";"12,58";"86,36";"16,10";"3,35";"9,05";"47,11";"34,50";"57,07";"41,61";"1,49";"77,70";"23,99";"25,66";"16,98";"12,34";"12,77";"3,02";"5,23";"99,00";"22,91";"34,93";"10,61";"45,35";"26,10";"43,76";"20,73";"9,21";"3.006,16";"2.291,63";"3,99";"1.886,85";"5,84";"11,29";"1,89";"55,35";"45,28";"5,31";"6,24";"1.049,51";"1.199,07";"879,99";"632,48";"39,09";"69,98";"3,67";"25,66";"70,67";"0,56";"3,99";"9,21";"8,16"
"01055";"Ostholstein";"Kreise";"4,29";"4,83";"5,17";"8,89";"57,94";"28,00";"4,59";"4,29";"192,90";"9,18";"54,33";"51,61";"36,88";"54,92";"12,21";"82,60";"90,61";"9,37";"68,10";"12,05";"10,72";"69,02";"10,78";"0,33";"18,59";"22,83";"15,60";"84,00";"14,59";"3,84";"7,65";"50,45";"39,14";"60,24";"42,43";"1,47";"77,80";"25,31";"30,07";"15,51";"12,59";"6,66";"2,83";"7,03";"108,64";"17,08";"44,87";"12,60";"41,42";"29,41";"38,97";"21,14";"10,48";"2.887,42";"2.132,39";"9,21";"1.046,68";"5,97";"16,33";"2,46";"55,32";"44,68";"5,72";"6,74";"1.039,44";"1.186,84";"893,17";"643,05";"29,29";"63,34";"1,78";"19,27";"78,95";"0,41";"9,21";"10,48";"9,18"
"01056";"Pinneberg";"Kreise";"4,72";"4,91";"6,91";"12,98";"58,80";"21,27";"4,35";"4,07";"446,58";"10,28";"46,46";"47,14";"31,70";"53,33";"11,31";"82,11";"92,08";"13,79";"62,06";"13,31";"15,91";"61,62";"12,34";"0,35";"16,19";"20,03";"13,27";"89,27";"19,92";"3,31";"13,09";"48,98";"30,03";"58,71";"42,45";"1,53";"80,30";"22,10";"29,27";"18,02";"13,49";"6,90";"3,34";"6,87";"105,48";"15,06";"35,81";"18,55";"39,15";"39,74";"34,45";"18,19";"7,62";"3.332,90";"2.209,26";"2,52";"1.845,08";"7,94";"13,51";"3,11";"56,82";"43,18";"3,82";"7,86";"1.141,25";"1.300,89";"951,23";"561,72";"31,43";"75,46";"1,31";"30,40";"68,29";"1,62";"2,52";"7,62";"10,28"
"01057";"Plön";"Kreise";"3,55";"4,14";"5,90";"11,92";"62,31";"19,74";"3,90";"3,52";"212,78";"8,74";"51,09";"38,06";"39,38";"60,97";"13,05";"81,44";"88,80";"11,43";"66,45";"13,60";"14,31";"68,22";"10,66";"0,16";"17,48";"22,30";"14,11";"87,23";"16,81";"3,80";"6,01";"49,89";"48,83";"59,09";"39,85";"1,51";"81,20";"23,75";"28,05";"18,95";"11,89";"7,85";"3,19";"6,32";"88,59";"6,28";"45,09";"16,73";"42,17";"33,55";"36,42";"21,41";"8,31";"3.097,32";"2.104,94";"2,47";"1.493,70";"6,12";"11,24";"1,88";"54,89";"45,86";"4,86";"6,48";"1.107,66";"1.270,51";"923,31";"625,30";"22,58";"64,78";"3,52";"23,15";"73,32";"0,73";"2,47";"8,31";"8,74"
"01058";"Rendsburg-Eckernförde";"Kreise";"3,72";"4,24";"6,82";"12,53";"61,87";"18,75";"3,74";"3,79";"127,89";"8,97";"51,27";"39,10";"34,09";"57,13";"10,72";"79,80";"86,02";"12,44";"66,68";"13,15";"14,62";"66,42";"11,59";"0,20";"17,77";"23,55";"13,62";"80,15";"16,93";"3,32";"6,76";"46,93";"51,81";"61,14";"44,64";"1,52";"80,60";"23,91";"26,74";"18,43";"11,98";"9,39";"3,19";"6,36";"103,66";"14,83";"31,11";"11,53";"44,82";"36,34";"34,35";"18,97";"10,48";"3.241,67";"2.140,73";"3,47";"1.007,21";"5,80";"14,23";"2,10";"57,24";"42,76";"4,65";"6,47";"1.101,19";"1.252,06";"924,64";"638,73";"32,82";"74,13";"2,43";"21,93";"75,65";"0,50";"3,47";"10,48";"8,97"
"01059";"Schleswig-Flensburg";"Kreise";"4,46";"5,00";"6,24";"14,75";"56,74";"22,27";"4,57";"3,63";"106,68";"7,91";"54,19";"36,40";"34,98";"57,59";"12,16";"82,28";"86,08";"9,05";"66,70";"13,58";"10,92";"69,43";"11,95";"0,20";"15,87";"21,28";"11,77";"88,89";"14,98";"3,38";"6,64";"49,39";"39,74";"54,98";"38,59";"1,59";"79,40";"22,90";"25,84";"16,43";"11,27";"14,25";"3,38";"5,92";"98,99";"8,71";"36,29";"16,05";"43,31";"25,70";"37,41";"26,57";"10,49";"2.941,72";"2.018,16";"3,53";"1.102,85";"5,85";"11,81";"2,38";"55,19";"44,81";"6,21";"6,89";"1.069,85";"1.228,29";"893,92";"642,04";"30,07";"69,63";"3,94";"23,84";"72,23";"0,61";"3,53";"10,49";"7,91"
"01060";"Segeberg";"Kreise";"4,34";"4,40";"5,81";"9,89";"57,15";"27,15";"4,22";"3,52";"141,54";"10,08";"46,89";"42,52";"29,99";"50,67";"10,78";"82,04";"89,92";"13,41";"63,49";"13,28";"13,43";"66,11";"11,72";"0,09";"15,22";"19,22";"12,04";"93,30";"19,02";"3,16";"10,81";"47,38";"35,90";"71,99";"51,60";"1,53";"79,20";"22,77";"28,44";"15,86";"14,09";"8,06";"3,16";"7,62";"105,40";"12,33";"32,28";"14,18";"37,91";"36,52";"37,28";"18,39";"7,81";"3.321,17";"2.104,69";"6,37";"1.165,15";"5,96";"16,28";"2,51";"58,68";"41,32";"5,46";"6,67";"1.132,67";"1.290,12";"957,23";"605,23";"34,54";"75,67";"1,39";"30,85";"67,76";"0,68";"6,37";"7,81";"10,08"
"01061";"Steinburg";"Kreise";"5,20";"5,43";"6,55";"11,03";"64,34";"18,15";"4,66";"5,24";"99,68";"7,15";"50,55";"39,60";"33,91";"55,86";"11,23";"80,39";"92,44";"10,73";"67,20";"13,09";"10,20";"68,91";"12,45";"0,00";"17,43";"25,14";"12,19";"85,87";"20,10";"3,30";"8,60";"48,29";"42,59";"55,54";"36,77";"1,49";"77,30";"23,91";"28,16";"15,26";"12,95";"8,18";"3,56";"7,98";"105,45";"16,29";"38,25";"17,11";"51,60";"30,83";"37,50";"23,61";"8,06";"3.268,74";"2.012,33";"4,65";"1.227,95";"7,47";"20,48";"2,81";"55,49";"44,51";"4,59";"7,96";"1.051,05";"1.199,54";"858,63";"628,45";"35,34";"79,86";"2,81";"37,91";"59,28";"1,14";"4,65";"8,06";"7,15"
"01062";"Stormarn";"Kreise";"3,29";"3,43";"6,56";"12,14";"60,06";"21,24";"3,21";"2,77";"222,59";"10,56";"48,18";"48,35";"29,28";"51,02";"10,57";"82,20";"90,81";"13,10";"62,42";"12,98";"17,85";"62,04";"10,60";"0,18";"15,81";"19,10";"13,25";"95,79";"20,63";"3,80";"9,45";"49,84";"38,20";"59,66";"43,84";"1,59";"81,90";"23,05";"28,07";"18,27";"14,43";"6,33";"3,23";"6,62";"107,76";"10,48";"29,68";"20,09";"38,15";"51,29";"30,14";"12,71";"5,86";"3.322,31";"2.310,42";"4,34";"431,31";"5,09";"11,12";"2,35";"57,66";"42,34";"4,44";"5,60";"1.221,17";"1.406,66";"1.013,25";"628,91";"37,59";"76,74";"0,73";"30,27";"69,00";"0,98";"4,34";"5,86";"10,56"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"6,65";"7,01";"12,76";"12,18";"58,57";"16,48";"6,47";"5,37";"1.077,38";"12,97";"40,04";"49,44";"29,01";"44,63";"8,69";"80,76";"88,16";"27,54";"49,46";"12,14";"30,03";"45,04";"13,50";"0,17";"11,75";"12,78";"10,91";"86,18";"28,38";"2,78";"19,20";"48,29";"25,07";"65,80";"44,96";"1,31";"77,80";"15,44";"29,67";"24,92";"11,40";"6,84";"6,72";"5,03";"94,24";"18,95";"37,70";"21,07";"31,30";"54,55";"22,63";"16,43";"6,39";"3.962,39";"2.178,98";"6,87";"0,00";"11,33";"12,13";"8,61";"55,10";"44,92";"6,38";"12,71";"1.158,37";"1.244,97";"1.061,85";"430,12";"70,59";"101,31";"0,09";"16,49";"83,42";"1,20";"6,87";"6,39";"12,97"
"03101";"Braunschweig, Stadt";"Kreise";"4,92";"5,08";"15,85";"13,22";"52,66";"18,27";"4,81";"3,46";"411,75";"8,82";"46,15";"46,45";"31,07";"50,28";"5,65";"79,51";"88,01";"23,75";"57,76";"11,71";"32,19";"49,29";"11,49";"0,15";"13,52";"16,15";"11,51";"91,70";"31,16";"3,42";"13,14";"48,01";"25,50";"81,17";"65,29";"1,33";"75,00";"18,61";"30,42";"23,98";"10,08";"6,42";"4,56";"5,91";"107,20";"30,60";"37,91";"10,33";"39,65";"49,37";"35,58";"8,58";"6,47";"3.800,64";"2.015,85";"6,76";"565,38";"8,26";"16,73";"4,02";"57,98";"42,02";"7,07";"9,06";"1.070,10";"1.183,30";"927,70";"576,36";"82,40";"122,05";"0,06";"16,58";"83,36";"2,34";"6,76";"6,47";"8,82"
"03102";"Salzgitter, Stadt";"Kreise";"9,78";"8,73";"11,10";"11,00";"56,21";"21,69";"6,26";"8,53";"141,18";"6,12";"45,67";"44,12";"22,58";"52,05";"4,58";"73,70";"94,20";"12,45";"66,19";"11,17";"8,68";"63,87";"16,06";"0,19";"14,98";"19,13";"11,81";"93,98";"17,01";"3,53";"21,51";"48,33";"33,24";"59,28";"46,30";"1,81";"66,80";"21,64";"38,23";"8,88";"8,31";"6,02";"3,46";"13,47";"107,05";"17,16";"26,87";"19,57";"36,28";"24,01";"49,85";"17,73";"8,41";"4.298,54";"1.776,02";"3,93";"3.445,56";"15,76";"18,86";"3,87";"59,46";"40,54";"1,78";"14,29";"1.030,61";"1.156,69";"850,83";"542,49";"51,78";"94,53";"0,32";"64,16";"35,52";"2,01";"3,93";"8,41";"6,12"
"03103";"Wolfsburg, Stadt";"Kreise";"6,09";"5,51";"14,55";"11,52";"54,05";"19,88";"4,12";"6,62";"415,08";"8,29";"49,00";"49,06";"16,51";"40,02";"2,34";"76,99";"93,61";"28,27";"56,79";"5,85";"20,70";"58,29";"9,99";"0,15";"14,48";"17,65";"12,14";"98,28";"25,67";"3,80";"18,32";"48,62";"29,42";"64,94";"45,02";"1,49";"71,40";"24,43";"34,40";"12,75";"10,52";"5,84";"2,75";"9,31";"107,06";"23,79";"33,10";"6,87";"29,84";"43,69";"43,55";"10,47";"2,30";"4.969,76";"2.197,25";"4,41";"1.293,42";"8,67";"13,88";"3,01";"60,36";"39,64";"6,41";"8,53";"1.045,64";"1.158,03";"896,92";"1.003,83";"158,68";"153,54";"0,05";"77,75";"22,20";"2,30";"4,41";"2,30";"8,29"
"03151";"Gifhorn";"Kreise";"4,42";"4,37";"8,30";"13,00";"59,06";"19,64";"3,15";"4,95";"136,89";"8,19";"54,92";"43,17";"35,71";"60,65";"9,33";"76,58";"91,30";"15,78";"63,91";"12,59";"16,01";"66,15";"9,69";"0,09";"17,35";"24,19";"13,06";"91,89";"25,49";"2,86";"8,66";"49,05";"34,01";"53,36";"37,85";"1,75";"75,70";"24,30";"33,77";"13,12";"10,35";"5,59";"2,39";"10,48";"106,90";"14,80";"40,48";"13,27";"42,58";"30,18";"50,91";"14,25";"4,66";"3.393,65";"2.109,58";"2,13";"763,05";"5,24";"7,90";"1,82";"56,52";"43,48";"5,76";"5,71";"1.086,71";"1.268,23";"879,66";"612,24";"22,26";"66,00";"3,93";"21,40";"74,67";"0,48";"2,13";"4,66";"8,19"
"03153";"Goslar";"Kreise";"5,98";"6,43";"4,38";"11,50";"53,53";"30,59";"5,74";"5,97";"0,00";"6,15";"55,45";"39,88";"33,81";"55,39";"8,55";"79,35";"86,76";"11,63";"70,26";"11,57";"13,09";"68,70";"11,75";"0,64";"18,83";"23,08";"15,69";"86,41";"16,34";"4,30";"11,41";"46,07";"30,23";"65,05";"48,93";"1,38";"71,70";"23,35";"37,12";"11,86";"9,61";"5,63";"3,20";"9,24";"107,13";"14,59";"29,26";"11,20";"40,04";"23,91";"50,82";"17,64";"7,64";"3.150,36";"1.905,43";"7,82";"958,41";"9,84";"13,26";"3,25";"54,32";"45,68";"2,57";"9,79";"1.077,54";"1.217,52";"898,82";"602,07";"29,65";"65,38";"1,33";"27,95";"70,72";"0,53";"7,82";"7,64";"6,15"
"03154";"Helmstedt";"Kreise";"5,50";"5,75";"10,35";"13,65";"44,60";"31,49";"4,95";"6,26";"108,78";"6,96";"54,93";"42,38";"35,55";"54,62";"9,12";"79,04";"93,41";"10,85";"70,11";"11,75";"12,62";"69,62";"9,70";"0,05";"18,37";"24,45";"14,54";"76,19";"16,53";"3,54";"9,14";"49,82";"37,64";"62,87";"42,91";"1,55";"72,60";"24,95";"35,85";"11,41";"9,65";"6,06";"2,89";"9,19";"106,91";"7,58";"26,25";"9,42";"39,73";"29,49";"47,46";"16,32";"6,74";"3.019,86";"2.073,41";"10,00";"2.675,79";"7,76";"9,98";"2,30";"57,43";"42,57";"4,71";"7,96";"1.043,50";"1.188,57";"863,81";"614,77";"22,27";"66,30";"3,41";"25,13";"71,46";"0,69";"10,00";"6,74";"6,96"
"03155";"Northeim";"Kreise";"5,22";"5,45";"5,51";"11,38";"55,31";"27,76";"3,91";"5,64";"57,57";"6,19";"56,07";"41,11";"32,08";"57,63";"9,08";"81,29";"90,90";"10,97";"70,62";"12,15";"10,67";"70,79";"12,45";"0,60";"20,76";"27,53";"15,75";"96,03";"16,79";"4,07";"8,62";"50,10";"45,00";"56,78";"36,45";"1,48";"74,30";"23,46";"38,68";"12,04";"10,16";"4,74";"2,89";"8,03";"109,21";"17,81";"30,97";"7,33";"39,33";"33,67";"50,42";"10,61";"5,30";"3.212,26";"1.985,44";"2,86";"1.464,81";"7,51";"14,46";"2,41";"55,69";"44,31";"4,78";"7,43";"1.043,63";"1.197,59";"857,33";"669,48";"30,03";"65,29";"5,14";"32,93";"61,93";"0,48";"2,86";"5,30";"6,19"
"03157";"Peine";"Kreise";"5,17";"4,93";"6,09";"10,34";"56,55";"27,13";"4,44";"4,89";"136,79";"7,57";"52,08";"44,65";"33,57";"57,97";"9,39";"78,64";"90,43";"10,82";"65,49";"15,00";"13,18";"68,18";"11,84";"1,52";"17,40";"22,80";"13,41";"71,43";"15,87";"3,22";"10,08";"49,61";"41,93";"58,49";"39,75";"1,75";"76,00";"21,50";"38,22";"13,10";"9,26";"6,34";"2,56";"9,03";"103,30";"6,21";"37,31";"14,95";"34,69";"34,60";"46,95";"13,69";"4,76";"3.235,84";"1.965,79";"1,84";"1.374,96";"8,03";"11,56";"2,35";"56,74";"43,26";"5,29";"8,14";"1.062,10";"1.243,82";"846,86";"622,73";"23,23";"69,46";"2,11";"31,62";"66,27";"1,08";"1,84";"4,76";"7,57"
"03158";"Wolfenbüttel";"Kreise";"4,66";"5,15";"8,73";"14,43";"54,30";"22,41";"4,36";"4,49";"159,47";"7,54";"54,63";"41,79";"38,18";"57,50";"10,37";"80,68";"89,20";"14,58";"67,83";"10,64";"17,45";"65,13";"10,41";"0,19";"17,51";"22,79";"14,06";"78,43";"15,22";"3,54";"7,84";"48,75";"43,92";"56,84";"39,67";"1,51";"78,00";"23,62";"34,98";"15,34";"9,88";"5,73";"2,98";"7,47";"107,14";"5,15";"20,93";"13,85";"39,81";"35,17";"46,32";"13,31";"5,19";"3.327,44";"2.030,66";"2,48";"1.715,95";"6,77";"10,51";"2,71";"55,97";"44,03";"4,78";"7,31";"1.094,79";"1.274,70";"883,45";"631,94";"22,23";"70,50";"3,19";"28,57";"68,24";"0,62";"2,48";"5,19";"7,54"
"03159";"Göttingen";"Kreise";"5,08";"5,68";"8,83";"12,41";"55,72";"23,03";"4,04";"4,61";"74,69";"9,53";"50,85";"45,78";"34,62";"54,66";"7,24";"78,02";"85,18";"19,32";"62,70";"12,50";"21,59";"60,62";"12,21";"0,81";"15,24";"19,07";"12,39";"93,62";"17,37";"3,48";"10,93";"51,16";"30,76";"97,52";"77,69";"1,29";"74,90";"21,92";"33,02";"18,95";"9,71";"5,32";"4,72";"6,35";"109,29";"15,35";"36,64";"15,63";"40,96";"42,26";"39,08";"12,38";"6,28";"3.459,27";"1.887,22";"10,61";"1.516,24";"7,14";"13,32";"3,50";"52,24";"47,76";"5,56";"7,94";"1.107,67";"1.235,68";"946,11";"566,19";"38,95";"71,27";"1,06";"29,54";"69,39";"0,33";"10,61";"6,28";"9,53"
"03241";"Region Hannover";"Kreise";"6,70";"7,37";"12,51";"12,98";"55,13";"19,38";"5,98";"5,94";"270,46";"9,24";"46,82";"47,72";"30,17";"48,61";"7,06";"79,76";"88,80";"20,19";"58,80";"12,76";"22,14";"56,52";"13,10";"0,08";"13,29";"15,64";"11,41";"87,47";"24,18";"3,36";"16,43";"49,74";"37,10";"52,09";"34,26";"1,40";"75,10";"21,08";"31,70";"20,55";"10,36";"5,75";"3,88";"6,69";"103,06";"21,28";"37,50";"14,10";"37,73";"40,57";"41,62";"11,58";"6,23";"3.677,62";"1.929,66";"5,97";"2.614,80";"11,57";"15,59";"5,55";"55,71";"44,29";"5,74";"11,76";"1.093,83";"1.212,81";"944,27";"507,15";"47,84";"80,31";"0,36";"22,01";"77,63";"0,29";"5,97";"6,23";"9,24"
"03251";"Diepholz";"Kreise";"4,12";"4,05";"4,48";"10,48";"61,56";"23,47";"3,46";"3,77";"111,58";"7,54";"53,63";"52,30";"32,81";"58,45";"10,60";"83,83";"92,25";"8,97";"67,68";"12,50";"10,68";"68,28";"11,66";"0,23";"17,35";"22,39";"13,48";"92,78";"18,07";"3,25";"10,29";"48,99";"35,49";"63,56";"40,89";"1,61";"75,70";"25,01";"33,08";"14,64";"12,25";"5,29";"2,72";"7,02";"105,34";"12,77";"32,33";"10,05";"41,84";"27,30";"52,48";"14,90";"5,31";"3.070,95";"2.064,21";"2,21";"561,53";"5,92";"12,51";"2,84";"57,93";"42,07";"5,05";"6,42";"1.089,68";"1.268,84";"874,33";"647,80";"32,71";"69,64";"4,59";"31,53";"63,88";"0,60";"2,21";"5,31";"7,54"
